Date,Price,Open,High,Low,Vol,Change %
12/31/2024,"93,557.20","92,777.20","96,163.40","92,036.20",74.85K,0.84%
12/30/2024,"92,779.80","93,718.70","94,936.40","91,522.30",112.43K,-1.00%
12/29/2024,"93,716.30","95,282.60","95,315.40","93,026.70",47.71K,-1.65%
12/28/2024,"95,284.50","94,274.90","95,684.30","94,124.70",32.97K,1.07%
12/27/2024,"94,275.90","95,776.40","97,243.30","93,472.80",85.12K,-1.57%
12/26/2024,"95,777.70","99,389.40","99,922.50","95,193.30",74.60K,-3.64%
12/25/2024,"99,391.30","98,661.90","99,514.10","97,651.90",39.80K,0.73%
12/24/2024,"98,668.10","94,852.80","99,446.60","93,566.20",69.86K,4.02%
12/23/2024,"94,852.10","95,184.80","96,517.80","92,543.20",133.24K,-0.35%
12/22/2024,"95,183.80","97,281.60","97,422.20","94,265.20",100.64K,-2.13%
12/21/2024,"97,253.30","97,799.10","99,531.90","96,478.60",123.36K,-0.55%
12/20/2024,"97,795.70","97,468.30","98,178.20","92,301.90",221.18K,0.34%
12/19/2024,"97,466.10","100,190.50","102,778.80","95,672.20",200.57K,-2.73%
12/18/2024,"100,197.80","106,140.70","106,477.60","100,049.30",187.49K,-5.60%
12/17/2024,"106,138.90","106,053.40","108,244.90","105,350.60",149.37K,0.08%
12/16/2024,"106,057.60","104,479.20","107,767.60","103,351.70",232.66K,1.55%
12/15/2024,"104,443.00","101,417.90","105,120.90","101,234.90",133.99K,2.98%
12/14/2024,"101,417.70","101,423.70","102,633.00","100,626.30",105.31K,-0.01%
12/13/2024,"101,426.20","100,008.30","101,891.20","99,214.20",162.40K,1.42%
12/12/2024,"100,009.90","101,126.30","102,495.30","99,334.50",188.96K,-1.10%
12/11/2024,"101,126.20","96,603.20","101,877.10","95,689.50",250.02K,4.69%
12/10/2024,"96,600.30","97,311.50","98,237.80","94,304.50",271.45K,-0.78%
12/9/2024,"97,359.40","101,129.70","101,198.60","94,395.80",321.01K,-3.72%
12/8/2024,"101,115.80","99,837.00","101,339.90","98,713.90",128.93K,1.28%
12/7/2024,"99,837.00","99,757.20","100,441.80","98,969.00",118.44K,0.08%
12/6/2024,"99,760.70","96,968.90","101,908.50","96,452.00",213.49K,2.88%
12/5/2024,"96,970.80","98,624.80","103,719.40","92,510.40",245.79K,-1.69%
12/4/2024,"98,635.80","95,900.10","99,030.70","94,625.30",113.77K,2.85%
12/3/2024,"95,898.70","95,843.90","96,245.00","93,646.10",95.08K,0.05%
12/2/2024,"95,846.60","97,199.30","98,082.00","94,510.60",95.80K,-1.39%
12/1/2024,"97,201.40","96,404.70","97,813.90","95,721.80",42.90K,0.83%
11/30/2024,"96,405.70","97,438.50","97,461.90","96,119.60",36.92K,-1.06%
11/29/2024,"97,438.00","95,645.60","98,599.80","95,405.70",76.54K,1.87%
11/28/2024,"95,645.50","95,881.40","96,549.00","94,648.80",68.17K,-0.25%
11/27/2024,"95,886.60","91,975.50","97,219.80","91,795.50",106.39K,4.25%
11/26/2024,"91,977.60","93,046.50","94,978.80","90,817.20",131.88K,-1.17%
11/25/2024,"93,064.40","97,948.80","98,872.40","92,875.30",124.98K,-4.97%
11/24/2024,"97,935.20","97,696.40","98,552.60","95,765.40",77.04K,0.24%
11/23/2024,"97,699.00","98,927.20","98,927.20","97,180.90",72.17K,-1.24%
11/22/2024,"98,929.70","98,381.20","99,617.40","97,182.20",132.23K,0.56%
11/21/2024,"98,374.50","94,308.70","98,937.20","94,063.80",179.07K,4.32%
11/20/2024,"94,303.90","92,252.60","94,836.10","91,517.40",121.46K,2.24%
11/19/2024,"92,239.20","90,482.10","93,918.50","90,378.70",146.04K,1.95%
11/18/2024,"90,478.70","89,843.30","92,567.10","89,410.40",150.47K,0.72%
11/17/2024,"89,833.70","90,569.40","91,441.60","88,736.10",81.24K,-0.78%
11/16/2024,"90,539.10","91,035.30","91,748.90","90,079.00",79.82K,-0.56%
11/15/2024,"91,046.50","87,297.20","91,833.10","87,118.80",158.19K,4.30%
11/14/2024,"87,294.00","90,424.80","91,726.70","86,740.20",153.34K,-3.46%
11/13/2024,"90,422.20","87,971.20","93,226.60","86,168.40",257.57K,2.82%
11/12/2024,"87,941.30","88,665.00","89,929.60","85,122.20",288.68K,-0.82%
11/11/2024,"88,664.10","80,389.00","89,519.00","80,231.80",254.04K,10.29%
11/10/2024,"80,388.50","76,681.40","81,373.50","76,520.50",193.83K,4.81%
11/9/2024,"76,700.30","76,506.10","76,904.00","75,732.50",72.97K,0.24%
11/8/2024,"76,517.30","75,869.80","77,188.50","75,599.00",155.17K,0.85%
11/7/2024,"75,868.60","75,585.50","76,837.80","74,448.20",184.16K,0.37%
11/6/2024,"75,586.30","69,374.10","76,401.40","69,323.00",357.28K,8.96%
11/5/2024,"69,373.70","67,848.30","70,495.60","67,473.60",108.95K,2.25%
11/4/2024,"67,848.80","68,770.30","69,483.40","66,834.00",101.31K,-1.34%
11/3/2024,"68,769.60","69,334.80","69,383.60","67,514.20",83.16K,-0.80%
11/2/2024,"69,325.80","69,499.30","69,896.90","69,029.00",38.72K,-0.26%
11/1/2024,"69,507.20","70,278.70","71,598.40","68,846.00",130.46K,-1.10%
10/31/2024,"70,281.80","72,343.70","72,685.70","69,674.50",111.29K,-2.86%
10/30/2024,"72,347.80","72,732.50","72,907.40","71,460.00",99.05K,-0.53%
10/29/2024,"72,730.40","69,957.20","73,569.40","69,753.20",168.60K,3.97%
10/28/2024,"69,954.10","68,011.90","70,203.40","67,610.00",103.97K,2.87%
10/27/2024,"68,004.60","67,084.70","68,308.00","66,924.60",33.58K,1.37%
10/26/2024,"67,086.80","66,694.50","67,408.40","66,443.80",42.05K,0.58%
10/25/2024,"66,696.80","68,191.90","68,756.80","65,644.20",110.51K,-2.19%
10/24/2024,"68,191.50","66,659.20","68,831.80","66,510.60",82.78K,2.29%
10/23/2024,"66,663.70","67,428.60","67,441.10","65,246.70",84.99K,-1.13%
10/22/2024,"67,427.30","67,370.80","67,815.30","66,609.40",86.76K,0.08%
10/21/2024,"67,371.30","69,030.50","69,490.80","66,845.50",109.28K,-2.40%
10/20/2024,"69,030.50","68,373.30","69,386.40","67,443.90",44.92K,0.96%
10/19/2024,"68,372.00","68,426.40","68,688.80","68,025.50",33.29K,-0.07%
10/18/2024,"68,423.10","67,416.50","68,990.30","67,190.90",99.20K,1.49%
10/17/2024,"67,418.40","67,618.10","67,933.50","66,677.30",84.68K,-0.30%
10/16/2024,"67,617.90","67,075.10","68,389.40","66,766.60",98.30K,0.81%
10/15/2024,"67,077.50","66,084.10","67,821.90","64,850.60",136.72K,1.51%
10/14/2024,"66,081.70","62,870.70","66,476.60","62,463.70",122.09K,5.11%
10/13/2024,"62,870.90","63,205.40","63,284.60","62,054.20",42.26K,-0.53%
10/12/2024,"63,205.10","62,506.60","63,463.10","62,486.10",40.91K,1.13%
10/11/2024,"62,499.40","60,317.50","63,385.10","60,080.60",86.38K,3.62%
10/10/2024,"60,316.20","60,628.90","61,304.60","59,075.70",83.86K,-0.52%
10/9/2024,"60,628.80","62,157.00","62,537.00","60,355.50",68.79K,-2.46%
10/8/2024,"62,157.00","62,226.90","63,196.60","61,883.20",63.75K,-0.14%
10/7/2024,"62,245.60","62,819.80","64,449.30","62,175.80",86.27K,-0.91%
10/6/2024,"62,819.40","62,062.00","62,934.50","61,495.40",31.72K,1.22%
10/5/2024,"62,061.40","62,085.50","62,366.80","61,705.70",30.15K,-0.03%
10/4/2024,"62,081.00","60,751.40","62,471.70","60,469.30",72.71K,2.19%
10/3/2024,"60,751.20","60,642.00","61,468.90","59,904.40",82.43K,0.17%
10/2/2024,"60,645.70","60,834.20","62,339.80","60,002.70",98.94K,-0.31%
10/1/2024,"60,835.50","63,329.90","64,125.30","60,195.90",134.93K,-3.95%
09/30/2024,"63,339.20","65,607.00","65,607.00","62,901.10",101.70K,-3.46%
09/29/2024,"65,607.10","65,862.80","66,065.70","65,436.80",32.60K,-0.39%
09/28/2024,"65,866.50","65,775.60","66,232.50","65,438.10",35.00K,0.14%
09/27/2024,"65,776.30","65,168.80","66,440.70","64,839.20",80.55K,0.92%
09/26/2024,"65,175.70","63,157.20","65,770.90","62,693.30",96.06K,3.20%
09/25/2024,"63,156.50","64,262.90","64,788.40","62,952.80",62.72K,-1.71%
09/24/2024,"64,256.80","63,335.90","64,664.10","62,740.80",76.71K,1.46%
09/23/2024,"63,331.80","63,575.40","64,723.40","62,650.00",75.66K,-0.38%
09/22/2024,"63,572.70","63,351.20","63,998.20","62,394.60",48.86K,0.35%
09/21/2024,"63,348.10","63,201.20","63,526.30","62,778.60",33.20K,0.23%
09/20/2024,"63,201.20","62,942.40","64,085.10","62,367.10",90.65K,0.42%
09/19/2024,"62,938.60","61,754.80","63,849.60","61,596.50",120.17K,1.91%
09/18/2024,"61,757.60","60,308.50","61,757.60","59,210.70",105.57K,2.40%
09/17/2024,"60,309.10","58,213.10","61,309.00","57,630.20",106.30K,3.60%
09/16/2024,"58,213.10","59,126.20","59,204.30","57,527.80",87.60K,-1.56%
09/15/2024,"59,138.50","59,995.60","60,377.60","58,717.90",47.01K,-1.43%
09/14/2024,"59,995.40","60,514.80","60,609.40","59,494.30",44.47K,-0.85%
09/13/2024,"60,511.60","58,134.40","60,625.40","57,656.80",102.12K,4.09%
9/12/2024,"58,134.50","57,335.50","58,484.10","57,329.60",98.42K,1.39%
9/11/2024,"57,338.70","57,638.00","57,975.90","55,576.60",102.15K,-0.51%
9/10/2024,"57,635.00","57,045.60","58,019.90","56,415.30",77.65K,1.03%
9/9/2024,"57,049.60","54,868.00","57,956.70","54,595.40",105.33K,3.99%
9/8/2024,"54,861.30","54,161.40","55,292.70","53,642.40",51.99K,1.30%
9/7/2024,"54,156.50","53,965.00","54,819.20","53,754.30",58.11K,0.35%
9/6/2024,"53,966.80","56,179.70","56,969.10","52,644.60",155.84K,-3.94%
9/5/2024,"56,183.20","57,970.70","58,318.90","55,744.60",90.36K,-3.09%
9/4/2024,"57,973.40","57,490.40","58,508.80","55,732.10",108.44K,0.86%
9/3/2024,"57,479.80","59,133.70","59,799.70","57,436.90",74.77K,-2.80%
9/2/2024,"59,134.00","57,309.00","59,416.60","57,185.80",73.18K,3.17%
9/1/2024,"57,315.70","58,975.70","59,058.70","57,232.40",63.95K,-2.82%
08/31/2024,"58,978.60","59,120.40","59,447.00","58,761.10",30.86K,-0.24%
08/30/2024,"59,119.70","59,371.70","59,817.60","57,874.70",87.31K,-0.43%
08/29/2024,"59,373.50","59,027.30","61,150.60","58,807.10",87.19K,0.61%
08/28/2024,"59,016.00","59,425.60","60,198.40","57,912.10",109.47K,-0.73%
08/27/2024,"59,450.90","62,832.20","63,201.40","58,187.30",108.53K,-5.40%
08/26/2024,"62,846.20","64,240.70","64,472.50","62,841.10",68.89K,-2.22%
08/25/2024,"64,273.20","64,160.70","64,939.20","63,796.60",41.61K,0.18%
08/24/2024,"64,159.30","64,061.70","64,458.90","63,579.50",54.14K,0.17%
08/23/2024,"64,053.10","60,374.70","64,830.10","60,354.40",125.50K,6.10%
08/22/2024,"60,372.20","61,158.30","61,399.70","59,815.80",74.39K,-1.29%
08/21/2024,"61,158.10","59,010.00","61,812.00","58,831.10",91.31K,3.65%
08/20/2024,"59,005.80","59,470.30","61,331.60","58,612.00",69.77K,-0.78%
08/19/2024,"59,470.90","58,445.80","59,598.50","57,872.00",49.19K,1.75%
08/18/2024,"58,446.30","59,485.40","60,216.30","58,436.10",30.82K,-1.74%
08/17/2024,"59,483.10","58,877.80","59,659.50","58,825.50",18.51K,1.03%
08/16/2024,"58,877.20","57,545.10","59,817.30","57,129.10",64.01K,2.33%
08/15/2024,"57,534.60","58,710.10","59,831.40","56,275.70",81.47K,-2.00%
08/14/2024,"58,707.80","60,594.60","61,543.00","58,491.20",64.79K,-3.11%
08/13/2024,"60,595.20","59,350.20","61,537.00","58,492.40",62.92K,2.10%
8/12/2024,"59,350.00","58,711.70","60,606.20","57,689.00",79.31K,1.08%
8/11/2024,"58,713.30","60,929.80","61,677.30","58,388.70",41.06K,-3.64%
8/10/2024,"60,931.70","60,844.50","61,344.50","60,264.20",22.91K,0.13%
8/9/2024,"60,850.60","61,697.80","61,712.30","59,570.20",69.55K,-1.38%
8/8/2024,"61,699.70","55,112.80","62,563.50","54,786.90",109.77K,11.94%
8/7/2024,"55,120.90","56,049.90","57,669.60","54,598.50",94.52K,-1.67%
8/6/2024,"56,057.80","54,010.80","57,025.60","53,998.20",113.89K,3.85%
8/5/2024,"53,979.00","58,142.90","58,291.40","49,486.90",333.46K,-7.16%
8/4/2024,"58,141.80","60,700.20","61,086.50","57,346.90",72.71K,-4.21%
8/3/2024,"60,696.70","61,480.80","62,184.20","59,914.60",65.74K,-1.27%
8/2/2024,"61,478.70","65,351.80","65,567.10","61,242.30",93.89K,-5.96%
8/1/2024,"65,372.90","64,625.70","65,587.90","62,303.90",84.20K,1.16%
07/31/2024,"64,626.00","66,185.40","66,825.60","64,538.30",51.52K,-2.36%
07/30/2024,"66,184.90","66,796.10","66,998.30","65,328.70",54.43K,-0.92%
07/29/2024,"66,798.70","68,256.30","70,000.20","66,544.50",85.67K,-2.14%
07/28/2024,"68,256.30","67,888.90","68,291.90","67,067.80",26.17K,0.61%
07/27/2024,"67,843.10","67,910.80","69,387.60","66,776.80",67.99K,-0.10%
07/26/2024,"67,908.60","65,799.70","68,205.00","65,764.30",59.13K,3.21%
07/25/2024,"65,799.30","65,363.90","66,088.60","63,500.90",77.46K,0.66%
07/24/2024,"65,370.50","65,936.80","67,072.10","65,155.20",52.47K,-0.86%
07/23/2024,"65,937.80","67,550.40","67,750.20","65,512.90",69.58K,-2.39%
07/22/2024,"67,553.60","68,158.40","68,468.90","66,601.80",54.88K,-0.89%
07/21/2024,"68,158.70","67,147.80","68,352.90","65,825.60",47.19K,1.50%
07/20/2024,"67,148.50","66,677.00","67,586.40","66,257.40",32.94K,0.71%
07/19/2024,"66,677.40","63,981.20","67,390.40","63,326.10",82.87K,4.22%
07/18/2024,"63,980.50","64,090.40","65,102.00","63,253.50",51.27K,-0.17%
07/17/2024,"64,089.20","65,052.80","66,051.50","63,897.50",66.11K,-1.48%
07/16/2024,"65,049.70","64,749.20","65,319.50","62,430.80",93.63K,0.41%
07/15/2024,"64,782.40","60,794.70","64,869.50","60,678.80",96.02K,6.56%
07/14/2024,"60,794.90","59,207.90","61,326.90","59,207.90",47.48K,2.68%
07/13/2024,"59,209.80","57,897.40","59,826.50","57,770.60",34.28K,2.29%
7/12/2024,"57,885.10","57,338.30","58,520.90","56,575.70",56.84K,0.96%
7/11/2024,"57,337.30","57,745.90","59,404.40","57,095.00",66.40K,-0.71%
7/10/2024,"57,746.70","58,040.20","59,393.80","57,185.30",59.60K,-0.50%
7/9/2024,"58,039.40","56,721.30","58,234.00","56,306.30",64.25K,2.32%
7/8/2024,"56,724.70","55,850.20","58,115.80","54,320.00",102.91K,1.55%
7/7/2024,"55,861.10","58,240.20","58,394.60","55,756.30",41.12K,-4.12%
7/6/2024,"58,259.20","56,640.00","58,462.00","56,026.80",46.91K,2.86%
7/5/2024,"56,641.80","57,025.70","57,471.10","53,883.40",175.51K,-0.67%
7/4/2024,"57,026.30","60,201.40","60,463.00","56,812.70",116.38K,-5.27%
7/3/2024,"60,199.30","62,104.90","62,263.60","59,466.60",73.34K,-3.07%
7/2/2024,"62,103.30","62,888.30","63,257.00","61,797.60",46.52K,-1.25%
7/1/2024,"62,890.10","62,768.80","63,842.10","62,558.00",59.94K,0.22%
06/30/2024,"62,754.30","60,973.10","63,006.60","60,703.70",37.21K,2.92%
06/29/2024,"60,973.40","60,403.70","61,192.80","60,382.80",26.56K,0.94%
06/28/2024,"60,403.30","61,684.60","62,175.40","60,081.90",58.95K,-2.08%
06/27/2024,"61,685.30","60,848.30","62,351.20","60,629.40",48.79K,1.37%
06/26/2024,"60,849.40","61,809.90","62,469.40","60,715.10",54.95K,-1.55%
06/25/2024,"61,809.40","60,292.00","62,266.00","60,262.20",77.28K,2.52%
06/24/2024,"60,292.70","63,201.60","63,357.10","58,589.90",120.60K,-4.59%
06/23/2024,"63,196.20","64,261.00","64,518.90","63,195.30",19.94K,-1.66%
06/22/2024,"64,261.00","64,131.90","64,523.90","63,944.00",17.55K,0.21%
06/21/2024,"64,128.50","64,854.30","65,054.90","63,427.90",60.86K,-1.12%
06/20/2024,"64,854.30","64,982.10","66,474.20","64,566.70",56.24K,-0.19%
06/19/2024,"64,980.90","65,159.80","65,706.40","64,705.60",42.96K,-0.27%
06/18/2024,"65,159.90","66,495.70","66,571.20","64,098.40",93.72K,-2.01%
06/17/2024,"66,498.80","66,672.90","67,253.80","65,115.40",66.09K,-0.26%
06/16/2024,"66,674.70","66,223.00","66,951.40","66,038.10",20.74K,0.68%
06/15/2024,"66,223.00","66,034.10","66,446.40","65,895.10",24.05K,0.29%
06/14/2024,"66,034.80","66,775.20","67,347.70","65,076.50",65.18K,-1.11%
06/13/2024,"66,773.10","68,260.60","68,384.60","66,324.30",66.36K,-2.18%
6/12/2024,"68,260.10","67,320.90","69,990.80","66,911.50",85.55K,1.40%
6/11/2024,"67,319.80","69,537.90","69,573.30","66,197.80",96.70K,-3.19%
6/10/2024,"69,538.20","69,650.20","70,152.50","69,259.90",39.12K,-0.16%
6/9/2024,"69,650.60","69,310.50","69,847.80","69,136.70",20.99K,0.49%
6/8/2024,"69,310.10","69,347.00","69,572.10","69,222.40",23.03K,-0.05%
6/7/2024,"69,347.90","70,793.40","71,956.50","68,620.70",82.62K,-2.04%
6/6/2024,"70,791.50","71,083.60","71,616.10","70,178.70",49.79K,-0.41%
6/5/2024,"71,083.70","70,550.90","71,744.40","70,397.10",67.06K,0.76%
6/4/2024,"70,549.20","68,808.00","71,034.20","68,564.30",75.69K,2.53%
6/3/2024,"68,807.80","67,763.30","70,131.00","67,616.80",69.42K,1.53%
6/2/2024,"67,773.50","67,760.80","68,447.50","67,330.60",30.63K,0.02%
6/1/2024,"67,760.80","67,533.90","67,861.00","67,449.60",19.01K,0.34%
05/31/2024,"67,530.10","68,352.30","69,018.20","66,676.80",61.51K,-1.21%
05/30/2024,"68,354.70","67,631.30","69,504.70","67,138.40",66.84K,1.06%
05/29/2024,"67,635.80","68,366.20","68,897.60","67,143.20",52.13K,-1.07%
05/28/2024,"68,366.00","69,428.30","69,560.70","67,299.90",71.39K,-1.53%
05/27/2024,"69,428.70","68,514.60","70,638.30","68,275.20",49.07K,1.33%
05/26/2024,"68,514.80","69,287.20","69,494.00","68,294.50",24.58K,-1.11%
05/25/2024,"69,284.40","68,548.20","69,558.80","68,516.10",25.17K,1.07%
05/24/2024,"68,547.60","67,971.10","69,212.00","66,685.80",63.28K,0.84%
05/23/2024,"67,975.70","69,166.30","70,041.00","66,578.10",89.45K,-1.71%
05/22/2024,"69,155.40","70,141.00","70,593.40","69,024.30",65.08K,-1.40%
05/21/2024,"70,139.90","71,430.50","71,872.00","69,181.70",108.56K,-1.80%
05/20/2024,"71,422.70","66,278.30","71,482.80","66,076.50",112.66K,7.76%
05/19/2024,"66,279.10","66,919.00","67,662.50","65,937.30",36.19K,-0.95%
05/18/2024,"66,917.50","67,036.60","67,361.40","66,636.10",29.68K,-0.18%
05/17/2024,"67,036.80","65,231.10","67,420.70","65,121.70",63.09K,2.77%
05/16/2024,"65,231.00","66,219.60","66,643.90","64,623.30",72.55K,-1.50%
05/15/2024,"66,225.10","61,569.40","66,417.10","61,357.50",106.05K,7.56%
05/14/2024,"61,569.40","62,936.80","63,102.60","61,156.90",68.84K,-2.17%
05/13/2024,"62,937.20","61,480.50","63,443.20","60,779.00",70.55K,2.37%
5/12/2024,"61,480.00","60,826.60","61,847.70","60,647.10",27.40K,1.07%
5/11/2024,"60,826.60","60,796.80","61,487.50","60,499.30",27.50K,0.05%
5/10/2024,"60,796.90","63,074.30","63,454.30","60,251.80",79.33K,-3.61%
5/9/2024,"63,075.00","61,207.30","63,413.30","60,671.40",64.22K,3.05%
5/8/2024,"61,207.50","62,304.90","62,997.40","60,894.20",56.47K,-1.78%
5/7/2024,"62,317.70","63,163.10","64,361.00","62,294.10",59.74K,-1.34%
5/6/2024,"63,163.10","64,005.80","65,448.80","62,730.70",77.68K,-1.32%
5/5/2024,"64,006.40","63,897.70","64,587.20","62,923.90",40.51K,0.18%
5/4/2024,"63,888.30","62,887.10","64,466.00","62,599.10",53.03K,1.61%
